  
       XFOIL         Version 6.99
  
 Calculated polar for: AG26 Bubble Dancer DLG by Mark Drela | The AG2x 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3129   0.04117   0.03731  -0.0524   1.0000   0.0592
  -4.000  -0.2159   0.02656   0.02136  -0.0570   1.0000   0.0713
  -3.000  -0.0941   0.01391   0.00660  -0.0555   1.0000   0.0390
  -2.000   0.0224   0.01004   0.00375  -0.0579   1.0000   0.3060
  -1.000   0.1660   0.00807   0.00348  -0.0642   0.9772   1.0000
   0.000   0.3244   0.00793   0.00286  -0.0727   0.9268   1.0000
   1.000   0.4315   0.00800   0.00258  -0.0695   0.8460   1.0000
   2.000   0.5343   0.00843   0.00263  -0.0658   0.7505   1.0000
   3.000   0.6382   0.00919   0.00298  -0.0630   0.6357   1.0000
   4.000   0.7412   0.01035   0.00369  -0.0607   0.4902   1.0000
   5.000   0.8421   0.01214   0.00496  -0.0588   0.3329   1.0000
   6.000   0.9408   0.01452   0.00696  -0.0572   0.1919   1.0000
   7.000   1.0351   0.01780   0.00999  -0.0551   0.0946   1.0000
   8.000   1.1202   0.02269   0.01502  -0.0516   0.0382   1.0000
   9.000   1.1903   0.03149   0.02441  -0.0463   0.0211   1.0000
  10.000   1.2324   0.04439   0.03897  -0.0392   0.0181   1.0000
  11.000   1.2059   0.05798   0.05382  -0.0317   0.0162   1.0000
  12.000   1.1101   0.08682   0.08358  -0.0469   0.0179   1.0000
  13.000   0.9785   0.14826   0.14517  -0.0828   0.0266   1.0000
  14.000   0.7685   0.15000   0.14700  -0.0631   0.0290   1.0000
  15.000   0.7329   0.17396   0.17092  -0.0730   0.0475   1.0000
